DFS0,DFS1,DFS2,DFS3,DFS4,DFS5,Shortest,MazeSolved
2069,6222,744,3384,5296,6041,1143,randomGenerateMaze383
4316,5768,3596,470,6015,5564,5691,randomGenerateMaze384
5,5,5,5,5,5,5,randomGenerateMaze385
1101,3355,4186,3570,4925,3717,4472,randomGenerateMaze386
597,2141,4720,4558,4732,2763,6145,randomGenerateMaze387
4106,4086,4455,1686,5220,2623,5107,randomGenerateMaze388
3947,1120,2348,1529,6309,3401,1616,randomGenerateMaze389
132,1087,5079,4876,1315,4187,4530,randomGenerateMaze390
5656,6443,1312,97,63,2272,416,randomGenerateMaze391
1056,1833,5648,5577,5359,2068,141,randomGenerateMaze392
2909,3686,5214,5519,5322,580,3474,randomGenerateMaze393
3107,3545,423,2267,3399,3748,6216,randomGenerateMaze394
3384,4236,721,3818,4106,2530,4029,randomGenerateMaze395
2821,2438,2739,5732,5500,5416,4934,randomGenerateMaze396
3192,4152,109,260,239,1768,461,randomGenerateMaze397
5552,6293,2406,3895,5597,3352,2052,randomGenerateMaze398
921,3515,3767,1127,6444,1038,2010,randomGenerateMaze399
2316,4422,3050,2637,5091,119,2158,randomGenerateMaze400
5342,511,801,3977,2830,5485,5139,randomGenerateMaze401
6092,2997,2530,1697,6045,6481,4239,randomGenerateMaze402
6627,6627,6627,6627,6627,6627,6627,randomGenerateMaze403
5694,5732,3023,2196,4113,2937,2298,randomGenerateMaze404
1094,3213,2784,1502,6043,1469,431,randomGenerateMaze405
248,879,5283,3650,5643,5971,4837,randomGenerateMaze406
4121,2930,1141,3653,3534,3142,5571,randomGenerateMaze407
3249,638,3018,422,461,1397,508,randomGenerateMaze408
6176,3832,4800,4547,3848,765,693,randomGenerateMaze409
5490,3142,925,2431,2133,1898,5285,randomGenerateMaze410
6371,5682,6189,3052,3018,1822,292,randomGenerateMaze411
3252,5498,2440,3331,2546,3345,4443,randomGenerateMaze412
3433,4106,6287,1622,1118,5693,4021,randomGenerateMaze413
3684,5604,2235,3680,2739,1852,2270,randomGenerateMaze414
1457,4585,4826,781,456,2334,4160,randomGenerateMaze415
1794,1848,4884,5142,3100,2739,3445,randomGenerateMaze416
6636,6636,6636,6636,6636,6636,6636,randomGenerateMaze417
4947,5697,1357,1117,1146,2588,5057,randomGenerateMaze418
3440,541,1641,4857,3446,4931,6302,randomGenerateMaze419
6629,6629,6629,6629,6629,6629,6629,randomGenerateMaze420
1722,1411,2843,4575,4656,2278,2121,randomGenerateMaze421
587,1804,5734,4882,4376,2831,5932,randomGenerateMaze422
1812,4167,4132,1907,1243,1409,4931,randomGenerateMaze423
