peek() time (ns),add() Best Case time (ns),add() Worst Case time (ns),extractMax() Best Case time (ns),extractMax() Worst Case time (ns),Items (n), logn,nlogn
200,72675000,215693350,28521350,-73480600,1237000,6.092369699629121,7536261.318441222
150,56904850,210014000,-9937700,-5383400,1238000,6.092720644684099,7542788.158118915
150,32589000,220661850,33441550,-118343150,1239000,6.093071306376063,7549315.348599942
150,25243000,207859000,-55954950,-2802550,1240000,6.093421685162235,7555842.889601171
150,30544950,219127650,-36671200,5844600,1241000,6.09377178149873,7562370.780839924
100,27267550,261695400,63636500,37559950,1242000,6.094121595840561,7568899.022033977
150,73841850,225523350,16336350,-5867150,1243000,6.094471128641644,7575427.612901564
200,116515600,211271550,-31749550,13745500,1244000,6.0948203803548,7581956.553161371
150,24754350,204483350,58754650,16102200,1245000,6.095169351431755,7588485.842532535
50,27290150,264915350,20565150,-60586150,1246000,6.0955180423231505,7595015.480734645
100,24782700,227905650,54227050,46524750,1247000,6.095866453478543,7601545.467487743
150,68069500,220376400,2516300,-26090000,1248000,6.096214585346405,7608075.802512313
150,24422500,262300150,6647650,5779000,1249000,6.096562438374136,7614606.485529295
0,37256050,204771250,56414900,-4272950,1250000,6.096910013008056,7621137.516260071
150,24347600,246109150,50556750,8744800,1251000,6.09725730969342,7627668.894426469
100,76171500,216466250,23184950,35221750,1252000,6.097604328874411,7634200.619750762
150,24875750,206365400,88371650,35827500,1253000,6.09795107099415,7640732.69195567
100,41839700,208372800,87632500,39838600,1254000,6.098297536494697,7647265.110764351
100,26441500,271467300,50835050,37122750,1255000,6.098643725817057,7653797.875900406
150,67565300,221881400,72622100,-304900,1256000,6.098989639401177,7660330.987087878
150,35920150,212640850,-46571150,5658550,1257000,6.099335277685958,7666864.444051249
100,62344200,240525200,38638000,-42796000,1258000,6.09968064110925,7673398.246515437
150,25071400,205750400,62232400,11052150,1259000,6.100025730107863,7679932.394205799
150,25665950,206899000,94982950,41727800,1260000,6.1003705451175625,7686466.886848128
50,34607200,210927950,73372950,4772950,1261000,6.100715086573081,7693001.724168655
50,72297800,215378900,20824700,-72213600,1262000,6.101059354908116,7699536.905894042
150,43478150,226934600,50386450,34957350,1263000,6.101403350555331,7706072.431751383
100,28715100,256319600,34312400,-32855000,1264000,6.101747073946366,7712608.301468207
150,24438000,246776700,29533250,42350100,1265000,6.102090525511836,7719144.514772473
0,24458500,202088150,12138100,-4845800,1266000,6.102433705681336,7725681.071392572
200,51850250,206929150,34881800,-39368450,1267000,6.1027766148834415,7732217.97105732
150,47304200,207905150,88176300,25130150,1268000,6.103119253545714,7738755.213495965
100,44769400,214782100,-52719600,-51437950,1269000,6.103461622094705,7745292.79843818
150,24400050,205728700,39094400,-46664800,1270000,6.103803720955957,7751830.725614065
50,27257300,268498700,-12426900,-34229200,1271000,6.1041455505540085,7758368.994754145
150,39880850,206919050,-44420800,11321200,1272000,6.104487111312395,7764907.605589366
150,24544150,203897400,93200750,31695050,1273000,6.104828403653656,7771446.557851104
100,49102850,217896800,29461250,41165600,1274000,6.105169427999332,7777985.851271149
150,24403100,274567800,25536600,-2496350,1275000,6.105510184769974,7784525.485581717
150,111701850,211722400,30752950,-4486200,1276000,6.1058506743851435,7791065.460515443
150,48815950,217351550,39101000,13423450,1277000,6.106190897263415,7797605.775805381
200,70445250,226945800,42687600,46487950,1278000,6.106530853822381,7804146.431185003
150,29488750,254151550,24903650,12549300,1279000,6.106870544478654,7810687.4263881985
100,32378800,263931950,-5123400,-32974500,1280000,6.107209969647869,7817228.761149272
250,65490450,217414100,21756250,64672250,1281000,6.107549129744687,7823770.435202943
150,24688600,205717700,52205300,-43102700,1282000,6.107888025182799,7830312.4482843485
50,24517900,207249500,79664000,-49961900,1283000,6.108226656374929,7836854.800129034
150,25056700,209905650,81551650,-47564100,1284000,6.108565023732835,7843397.49047296
150,61634600,230381550,49817950,21209350,1285000,6.108903127667313,7849940.519052497
150,35720350,245794850,22959550,-11129100,1286000,6.109240968588203,7856483.885604429
150,36937300,225329600,-69974050,-41900900,1287000,6.109578546904387,7863027.589865945
150,53937250,219435300,-23096650,4717900,1288000,6.109915863023793,7869571.631574646
150,34436800,212468650,-56174000,-28922050,1289000,6.110252917353403,7876116.010468536
250,34693800,250642800,23415700,-53803850,1290000,6.110589710299249,7882660.726286031
0,48160500,222733600,-35723350,-1595550,1291000,6.11092624226642,7889205.7787659485
50,24370150,259685800,34114400,-46829900,1292000,6.1112625136590655,7895751.167647513
200,27662100,261939400,40560200,20319550,1293000,6.111598524880394,7902296.892670349
200,78974800,220740050,19300800,-80058400,1294000,6.111934276332682,7908842.953574491
150,49003450,205311400,49764700,-4510750,1295000,6.112269768417271,7915389.3501003655
150,39755900,216996900,14309000,-2517300,1296000,6.1126050015345745,7921936.081988809
100,27330850,205819250,-29511850,5476050,1297000,6.11293997608408,7928483.1489810515
150,29120400,206668250,17726000,55701400,1298000,6.11327469246435,7935030.550818726
50,30832100,204893500,91636400,9578450,1299000,6.113609151073028,7941578.287243864
100,24597100,258858950,-11877150,5342050,1300000,6.113943352306837,7948126.357998888
100,24373350,200609550,91182950,27445350,1301000,6.114277296561586,7954674.762826623
150,27607050,258206900,40466850,-51850950,1302000,6.114610984232173,7961223.501470289
150,24750200,257871500,34463250,31327500,1303000,6.114944415712585,7967772.573673498
50,24356400,203486500,20412450,-2212150,1304000,6.115277591395901,7974321.979180255
