ItemsInList,SortedTree time(ns),DescendingTree time(ns),RandomTree time(ns)
980,1791000,1884230,48450
981,1909240,1887230,46510
982,1838900,1931460,45880
983,1794850,1852740,45830
984,2287090,1905230,44440
985,1971090,2033120,50520
986,1973500,2038680,48900
987,1947180,1882970,47060
988,1817810,1894970,43550
989,1849750,1891260,43650
990,1866840,1939510,44570
991,1838630,1901860,45170
992,1880380,1926290,45590
993,1877850,1946780,48000
994,1930550,1898580,45100
995,1842210,1903200,45700
996,1857030,1905980,43400
997,1851710,1925400,44910
998,1852510,1923830,47310
999,1873500,1916360,46950
1000,1862660,1931090,44510
