ItemsInList,SortedTree time(ns),DescendingTree time(ns),RandomTree time(ns),n^2,logn,nlogn,SortedTree n^2,SortedTree logn,SortedTree nlogn,DescendingTree n^2,DescendingTree logn,DescendingTree nlogn,RandomTree n^2,RandomTree Logn,RandomTree nlogn
123,24450,25670,2380,15129,2.089905111,257.0583287,1.616101527,11699.09575,95.11459957,1.696741358,12282.85431,99.86060412,0.157313768,1138.807684,9.258599058
124,24680,26120,2500,15376,2.093421685,259.584289,1.605098855,11789.31133,95.0750914,1.698751301,12477.18039,100.6224225,0.162591051,1194.217112,9.630783165
125,25170,26330,2360,15625,2.096910013,262.1137516,1.61088,12003.37632,96.02701058,1.68512,12556.57126,100.4525701,0.15104,1125.465559,9.003724472
126,26110,26770,2330,15876,2.100370545,264.6466887,1.644620811,12431.13986,98.65984014,1.686192996,12745.37013,101.1537312,0.146762409,1109.328069,8.80419102
127,26100,27380,2490,16129,2.103803721,267.1830726,1.618203236,12406.10031,97.68582923,1.697563395,13014.52209,102.4765519,0.154380309,1183.57049,9.319452674
128,26590,27920,2140,16384,2.10720997,269.7228761,1.622924805,12618.58115,98.58266523,1.704101563,13249.74749,103.5136522,0.130615234,1015.560875,7.934069334
129,27080,28400,2410,16641,2.11058971,272.2660726,1.627306051,12830.5373,99.46152945,1.706628207,13455.95492,104.3097281,0.144823027,1141.860963,8.851635375
130,27840,28920,2220,16900,2.113943352,274.8126358,1.647337278,13169.70011,101.3053855,1.711242604,13680.59365,105.2353358,0.131360947,1050.170052,8.078231168
131,28310,29310,2290,17161,2.117271296,277.3625397,1.649670765,13370.98371,102.0685779,1.707942428,13843.28974,105.6739675,0.133442107,1081.580809,8.25634205
132,28620,29860,2770,17424,2.120573931,279.9157589,1.642561983,13496.34624,102.2450473,1.713728191,14081.09359,106.6749515,0.158976125,1306.250143,9.895834414
133,29070,30360,2450,17689,2.123851641,282.4722682,1.6433942,13687.39673,102.9127573,1.716320877,14294.78379,107.4795773,0.138504155,1153.564568,8.673417802
134,29940,35540,2690,17956,2.127104798,285.032043,1.667409223,14075.47011,105.0408217,1.979282691,16708.15656,124.6877356,0.149810648,1264.629746,9.437535415
135,29990,35060,2460,18225,2.130333768,287.5950587,1.645541838,14077.60626,104.2785649,1.923731139,16457.51502,121.9075187,0.134979424,1154.74863,8.553693553
