Items in List (n),BadHashGetTime (ns),BHGet Collisions,MediumHashGetTime (ns),MHGet Collisions,GoodHashGetTime (ns),GHGet Collisions,BadHashPutTime (ns),BHPut Collisions,MediumHashPutTime (ns),MHPut Collisions,GoodHashPutTime (ns),GHPut Collisions
18100,29168200,100,943700,3079,1724600,100,19789950,0,2337550,0,2461750,0
18200,28894100,100,1051950,3099,1734150,100,19488950,0,2243700,0,2336900,0
18300,29324600,100,994850,3119,1749550,100,19625450,0,2336100,0,2361500,0
18400,29789650,100,1052900,3139,1782850,100,20164950,0,3684200,0,2588600,0
18500,30123700,100,1096000,3159,1698100,188,19685700,0,2258300,0,2360600,0
18600,30058350,100,1221650,3179,1813650,288,20007900,0,2446250,0,2593250,0
18700,31109500,100,1043600,3199,1863850,388,20372550,0,2623950,0,2476500,0
18800,31259600,100,1059950,3219,1815850,488,20726800,0,2258700,0,2473100,0
18900,31375650,100,1100800,3239,1823750,588,20254500,0,2402400,0,2436550,0
19000,31596200,100,1073600,3288,1913600,688,20875400,0,2358950,0,2452150,0
19100,30812900,100,1061300,3338,1825450,788,20373850,0,2374700,0,2572450,0
19200,32355650,100,1043350,3390,1852550,888,20841000,0,3763400,0,2549350,0
19300,32701150,100,1018800,3440,1924700,988,21218200,0,2275200,0,2491650,0
19400,32540600,100,1066750,3490,1904750,1088,21286650,0,2403850,0,2580800,0
19500,33284050,100,1075000,3540,1910550,1188,21048900,0,2255750,0,3865350,0
19600,33202850,100,1113150,3577,1986100,1288,21498900,0,2337600,0,2523100,0
19700,34027650,100,1155150,3617,2057100,1388,21719500,0,2491650,0,2555350,0
19800,34493500,100,1007300,3657,2013700,1488,22015700,0,2349200,0,2439550,0
19900,34622900,100,1032750,3697,2006350,1588,22111500,0,2338100,0,2539250,0
20000,35233250,100,1090400,3737,1989250,1688,22358750,0,2483500,0,2687850,0
20100,35577500,100,1105950,3777,1996750,1788,22643800,0,2333450,0,2458550,0
20200,35592550,100,1035600,3817,2041800,1888,22141950,0,2489050,0,2507100,0
20300,35817050,100,1102450,3857,2015550,1988,24076400,0,2753750,0,2642050,0
20400,36359000,100,1108850,3897,2088200,2088,22517000,0,2371250,0,2479550,0
20500,33296850,100,1041250,3937,2061350,2188,20322600,0,2472000,0,2659050,0
20600,36939450,100,1295550,3977,2097850,2288,23320150,0,2400700,0,2828850,0
20700,37245000,100,1115150,4017,2096200,2388,23668600,0,2348500,0,2510300,0
20800,39369350,100,1289400,4057,2163300,2488,23323250,0,2582350,0,2838950,0
20900,37928950,100,1196650,4097,2466850,2588,28560700,0,2984400,0,2808900,0
21000,38433150,100,1365250,4137,2174400,2688,24156150,0,2443600,0,2480600,0
21100,37294100,100,1112200,4177,2161800,2788,23002000,0,2579700,0,2711350,0
21200,39319350,100,1081200,4217,2176950,2888,23885750,0,2380400,0,2679350,0
21300,39376850,100,1113300,4257,2208050,2988,24511800,0,2409600,0,2566400,0
21400,35853700,100,1142350,4297,2240900,3088,21243200,0,2636450,0,3081900,0
21500,40464900,100,1114400,4337,2222300,3188,26074550,0,2545050,0,2694550,0
21600,41328050,100,1146850,4377,2259400,3288,24775800,0,2479400,0,2620700,0
21700,41365600,100,1094050,4417,2205200,3388,24804050,0,2394650,0,2507750,0
21800,42034500,100,1148300,4457,2288200,3488,35125550,0,2522800,0,2752900,0
21900,41462800,100,1122200,4497,2257650,3588,25761800,0,2298450,0,2584300,0
22000,42497900,100,1129800,4537,2313800,3688,25545300,0,2522400,0,2601800,0
22100,42476900,100,1089650,4577,2317000,3788,26076700,0,2508700,0,2691350,0
22200,42707550,100,1137250,4617,2306550,3888,25930250,0,2543750,0,2569350,0
22300,43328100,100,1164600,4657,2315400,3988,26300050,0,2497350,0,2573100,0
22400,43947350,100,1189000,4694,2364850,4088,26035950,0,2726100,0,2812700,0
22500,43883850,100,1161150,4714,2401250,4188,26897300,0,2339150,0,2753250,0
22600,44720750,100,1232750,4734,2396750,4288,26669750,0,2538400,0,2647700,0
22700,45268400,100,1142150,4754,2432450,4388,26329250,0,2702200,0,2889700,0
22800,45270550,100,1137350,4774,2389000,4488,26814750,0,2954700,0,3860350,0
22900,46255050,100,1214800,4794,2447000,4588,27469500,0,2545250,0,2635900,0
